ts,name,num_qubits,operational,pending_jobs,avg_cx_error,avg_readout_error
2026-07-01T02:45:05.522664+00:00,ionq,qpu.forte-enterprise-1,36,0,,,
2026-07-01T09:32:50.690923+00:00,ibm,ibm_fez,156,True,10,0.04288,0.02081
2026-07-01T09:32:50.690923+00:00,ibm,ibm_marrakesh,156,True,1154,0.05619,0.02838
2026-07-01T09:32:50.690923+00:00,ibm,ibm_kingston,156,True,9,0.03683,0.02235
2026-07-01T09:32:50.690923+00:00,ionq,qpu.forte-1,36,1,,,
2026-07-01T09:32:50.690923+00:00,ionq,simulator,29,1,,,
2026-07-01T09:32:50.690923+00:00,ionq,qpu.aria-1,25,0,,,
2026-07-01T09:32:50.690923+00:00,ionq,qpu.aria-2,25,0,,,
2026-07-01T09:32:50.690923+00:00,ionq,qpu.harmony,11,0,,,
2026-07-01T09:32:50.690923+00:00,ionq,qpu.forte-enterprise-1,36,0,,,
2026-07-01T14:14:46.085943+00:00,ibm,ibm_fez,156,True,62,0.04288,0.02057
2026-07-01T14:14:46.085943+00:00,ibm,ibm_marrakesh,156,True,1087,0.05619,0.02838
2026-07-01T14:14:46.085943+00:00,ibm,ibm_kingston,156,True,25,0.03683,0.02235
